19333120,8498081,18451536,749568,0,2,0
26279936,18225968,25358088,790528,0,3,0
32243712,25128049,31313944,798720,0,4,0
40501248,31082474,39554656,815104,0,5,0
46923776,33368505,45969536,823296,0,6,0
46923776,39322930,45969712,823296,0,6,0
54394880,45733624,53428800,835584,0,7,0
61341696,53188713,60363600,847872,0,8,0
70778880,54167562,69797232,851968,0,9,0
70778880,60121987,69797408,851968,0,9,0
77135872,69553432,76138288,868352,0,10,0
82706432,66462482,81649520,925696,0,11,0
82706432,68991846,81649968,925696,0,11,0
82706432,67395846,81650416,925696,0,11,0
82706432,68991846,81650864,925696,0,11,0
82706432,67395846,81651312,925696,0,11,0
82706432,68438838,81651760,925696,0,11,0
82706432,75893927,81651936,925696,0,11,0
92602368,81405455,91548144,925696,0,12,0
97648640,82802915,96558096,962560,0,13,0
97648640,84367722,96558544,962560,0,13,0
97648640,91300996,96558720,962560,0,13,0
105054208,96308383,103903120,1024000,0,14,0
111214592,95152039,110018992,1069056,0,15,0
111214592,97309625,110019440,1069056,0,15,0
111214592,103650120,110019616,1069056,0,15,0
119799808,102306516,118588992,1085440,0,16,0
119799808,109761605,118589168,1085440,0,16,0
129236992,111986304,128014608,1097728,0,17,0
129236992,108895354,128015056,1097728,0,17,0
129236992,118326799,128015232,1097728,0,17,0
136249344,118023059,134987168,1134592,0,18,0
136249344,121796521,134987616,1134592,0,18,0
136249344,127750946,134987792,1134592,0,18,0
145555456,127789025,144273968,1155072,0,19,0
145555456,126481843,144274416,1155072,0,19,0
145555456,134722299,144274592,1155072,0,19,0
153223168,134108957,151881408,1216512,0,20,0
153223168,136549409,151881856,1216512,0,20,0
153223168,138492970,151882304,1216512,0,20,0
153223168,136662761,151882752,1216512,0,20,0
153223168,137893013,151883200,1216512,0,20,0
153223168,135764042,151883648,1216512,0,20,0
153223168,138997111,151884096,1216512,0,20,0
153223168,135506417,151884544,1216512,0,20,0
153223168,134722299,151884992,1208320,0,20,0
153223168,138050073,151885440,1208320,0,20,0
153223168,137593804,151885888,1208320,0,20,0
153223168,134108957,151886336,1208320,0,20,0
153223168,138997111,151886784,1208320,0,20,0
153223168,137593804,151887232,1204224,0,20,0
153223168,135764042,151887680,1204224,0,20,0
153223168,138050073,151888128,1204224,0,20,0
153223168,137664003,151888576,1204224,0,20,0
153223168,137102417,151889024,1204224,0,20,0
153223168,144004498,151889200,1204224,0,20,0
158990336,141881149,157599568,1261568,0,21,0
158990336,145198342,157600016,1261568,0,21,0
158990336,144675762,157600464,1261568,0,21,0
158990336,146601649,157600912,1261568,0,21,0
158990336,143043842,157601360,1261568,0,21,0
158990336,144004498,157601808,1261568,0,21,0
158990336,146601649,157602256,1261568,0,21,0
158990336,142326837,157602704,1261568,0,21,0
158990336,142184889,157603152,1261568,0,21,0
158990336,144004498,157603600,1261568,0,21,0
158990336,144675762,157604048,1261568,0,21,0
158990336,146097508,157604496,1261568,0,21,0
158990336,143368580,157604944,1257472,0,21,0
158990336,145654611,157605392,1257472,0,21,0
158990336,141881149,157605840,1257472,0,21,0
158990336,141713495,157606288,1257472,0,21,0
158990336,145268541,157606736,1257472,0,21,0
158990336,145198342,157607184,1257472,0,21,0
158990336,144004498,157607632,1257472,0,21,0
158990336,151609036,157607808,1257472,0,21,0
168165376,150905805,166736352,1286144,0,22,0
168165376,149076043,166736800,1286144,0,22,0
168165376,151205014,166737248,1286144,0,22,0
168165376,150383225,166737696,1286144,0,22,0
168165376,149861410,166738144,1286144,0,22,0
168165376,148751305,166738592,1286144,0,22,0
168165376,147420958,166739040,1286144,0,22,0
168165376,149974762,166739488,1286144,0,22,0
168165376,147420958,166739936,1286144,0,22,0
168165376,149076043,166740384,1286144,0,22,0
168165376,149974762,166740832,1286144,0,22,0
168165376,149711961,166741280,1286144,0,22,0
168165376,150905805,166741728,1286144,0,22,0
168165376,147892352,166742176,1286144,0,22,0
168165376,151205014,166742624,1286144,0,22,0
168165376,151804971,166743072,1286144,0,22,0
168165376,147885054,166743520,1286144,0,22,0
168165376,149861410,166743968,1286144,0,22,0
168165376,148751305,166744416,1286144,0,22,0
168165376,147885054,166744864,1286144,0,22,0
168165376,147892352,166745312,1286144,0,22,0
