9568256,8498081,8730080,696320,696320,0
16711680,15629928,15865776,700416,700416,0
23658496,22532009,22771632,741376,741376,0
29622272,28486434,28727216,749568,749568,0
37879808,30772465,31012784,6721536,6721536,0
44302336,37183159,37427120,6729728,6729728,0
44302336,42311321,42555312,1601536,1601536,0
52363264,50336049,50583472,1634304,1634304,0
60227584,58147260,58398640,1683456,1683456,0
68616192,66470497,66725808,1744896,1744896,0
74973184,64487755,64739248,10088448,10088448,0
74973184,63097202,63346608,11481088,11481088,0
84475904,64057168,64309168,20021248,20021248,0
84475904,70195455,70449072,13881344,13881344,0
84475904,78488245,78743472,5586944,5586944,0
94371840,82245499,82499504,11726848,11726848,0
94371840,80842192,81094576,13131776,13131776,0
103743488,90157621,90412976,13185024,13185024,0
111149056,92491971,92747696,18255872,18255872,0
111149056,92262961,92522416,18481152,18481152,0
111149056,99349374,99612592,11390976,11390976,0
119734272,107914568,108181424,11407360,11407360,0
128450560,107168954,107435952,20869120,20869120,0
128450560,116643032,116914096,11390976,11390976,0
136970240,125159191,125433776,11390976,11390976,0
136970240,131111148,131389360,5435392,5435392,0
142606336,129606490,129882032,12578816,12578816,0
150536192,129708279,129980336,20410368,20410368,0
150536192,131559639,131831728,18558976,18558976,0
159186944,131916552,132188080,26853376,26853376,0
159186944,133102590,133371824,25669632,25669632,0
159186944,129039766,129308592,29732864,29732864,0
159186944,126972491,127244208,31797248,31797248,0
159186944,133248052,133523376,25518080,25518080,0
159186944,134371350,134645680,24395776,24395776,0
159186944,134190308,134465456,24576000,24576000,0
159186944,132516422,132790192,26251264,26251264,0
159186944,131717141,131991472,27049984,27049984,0
159186944,129813524,130086832,28954624,28954624,0
159186944,131341064,131614640,27426816,27426816,0
159186944,130943528,131217328,27824128,27824128,0
159186944,128396042,128669616,30371840,30371840,0
169082880,132648094,132921264,36016128,36016128,0
169082880,134639550,134911920,34025472,34025472,0
177799168,137017880,137287600,40366080,40366080,0
177799168,139245195,139511728,38141952,38141952,0
177799168,139105308,139368368,38285312,38285312,0
177799168,137560215,137824176,39829504,39829504,0
177799168,139282827,139544496,38109184,38109184,0
177799168,142746030,143009712,34643968,34643968,0
177799168,144371718,144635824,33017856,33017856,0
177799168,150803233,151070640,26583040,26583040,0
177799168,148434469,148703152,28950528,28950528,0
177799168,146624879,146896816,30756864,30756864,0
186777600,155583469,155858864,30773248,30773248,0
186777600,157045430,157321136,29310976,29310976,0
195559424,157110130,157386672,38027264,38027264,0
195559424,156783999,157058992,38354944,38354944,0
195559424,157337882,157611952,37801984,37801984,0
195559424,156181706,156452784,38961152,38961152,0
195559424,156960841,157231024,38182912,38182912,0
195559424,153485581,153757616,41656320,41656320,0
195559424,153793960,154064816,41349120,41349120,0
195559424,152989670,153257904,42156032,42156032,0
195559424,154687532,154953648,40460288,40460288,0
195559424,151043881,151312304,44101632,44101632,0
195559424,152776700,153044912,42369024,42369024,0
195559424,154899925,155170736,40243200,40243200,0
195559424,153149248,153421744,41992192,41992192,0
195559424,153323080,153597872,41816064,41816064,0
195559424,152601758,152876976,42536960,42536960,0
195559424,148936780,149211056,46202880,46202880,0
195559424,151636415,151910320,43503616,43503616,0
195559424,150896462,151173040,44240896,44240896,0
195559424,152144635,152422320,42991616,42991616,0
195559424,152430850,152709040,42704896,42704896,0
195559424,148675616,148953008,46460928,46460928,0
195559424,146663537,146941872,48472064,48472064,0
195559424,145273453,145553328,49860608,49860608,0
195559424,142933527,143210416,52203520,52203520,0
195559424,142443654,142718896,52695040,52695040,0
195559424,142651961,142927792,52486144,52486144,0
195559424,144827478,145102768,50311168,50311168,0
195559424,145616554,145889200,49524736,49524736,0
195559424,144846955,145119152,50294784,50294784,0
195559424,146093320,146364336,49049600,49049600,0
195559424,142219859,142493616,52920320,52920320,0
195559424,141977037,142251952,53161984,53161984,0
195559424,143325642,143599536,51814400,51814400,0
195559424,142611397,142886832,52527104,52527104,0
195559424,143121729,143394736,52019200,52019200,0
195559424,140252058,140523440,54890496,54890496,0
195559424,140880956,141150128,54263808,54263808,0
195559424,144572982,144840624,50573312,50573312,0
195559424,146640063,146909104,48504832,48504832,0
195559424,145825724,146094000,49319936,49319936,0
195559424,147168018,147433392,47980544,47980544,0
195559424,146583015,146847664,48566272,48566272,0
195559424,150288170,150550448,44863488,44863488,0
195559424,151102322,151365552,44048384,44048384,0
195559424,152465339,152729520,42684416,42684416,0
195559424,155684903,155948976,39464960,39464960,0
204079104,156955960,157222832,46710784,46710784,0
204079104,154910794,155178928,48754688,48754688,0
204079104,154497612,154765232,49168384,49168384,0
204079104,155385733,155654064,48279552,48279552,0
213909504,157307093,157579184,56184832,56184832,0
213909504,154869211,155142064,58621952,58621952,0
213909504,154760006,155035568,58728448,58728448,0
213909504,156842716,157116336,56647680,56647680,0
213909504,154951572,155223984,58540032,58540032,0
213909504,158518768,158791600,54972416,54972416,0
213909504,156185755,156460976,57303040,57303040,0
213909504,159125907,159401904,54362112,54362112,0
213909504,158309136,158586800,55177216,55177216,0
213909504,156583770,156858288,56905728,56905728,0
213909504,158306305,158578608,55185408,55185408,0
213909504,157105446,157378480,56385536,56385536,0
213909504,161038166,161310640,52453376,52453376,0
213909504,161620250,161892272,51871744,51871744,0
213909504,159210422,159483824,54280192,54280192,0
213909504,155472772,155748272,58015744,58015744,0
213909504,156370627,156645296,57118720,57118720,0
213909504,157446485,157718448,56045568,56045568,0
213909504,158529343,158803888,54960128,54960128,0
213909504,160078737,160352176,53411840,53411840,0
213909504,159278393,159549360,54214656,54214656,0
